id,name,logo
0,不选,0.png
1001,清华大学,1001.png
1002,北京大学,1002.png
1003,中国人民大学,1003.png
1004,北京航空航天大学,1004.png
1005,北京邮电大学,1005.png
1006,北京师范大学,1006.png
1007,中国传媒大学,1007.png
1008,北京语言大学,1008.png
1009,北京科技大学,1009.png
1010,中国农业大学,1010.png
1011,北京理工大学,1011.png
1012,北京林业大学,1012.png
1013,北京交通大学,1013.jpg
1014,中国矿业大学(北京),1014.png
1015,北京信息科技大学,1015.jpg
1016,北京工业大学,1016.png
1017,北京化工大学,1017.png
1018,中国政法大学,1018.png
1019,对外经济贸易大学,1019.png
1020,中央民族大学,1020.png
1021,中国地质大学(北京),1021.png
1022,中国科学院大学,1022.jpg
1023,北京中医药大学,1023.png
1024,首都经济贸易大学,1024.jpg
1025,中央财经大学,1025.png
1026,北方工业大学,1026.jpg
1027,中国石油大学(北京),1027.png
1028,外交学院,1028.png
1029,首都师范大学,1029.png
1030,中央戏剧学院,1030.png
1031,中国青年政治学院,1031.png
1032,北京外国语大学,1032.png
1033,华北电力大学(北京),1033.png
1034,中国人民公安大学,1034.jpg
1035,北京协和医学院(清华大学医学部),1035.jpg
1036,北京体育大学,1036.png
1037,北京工商大学,1037.jpg
1038,北京联合大学,1038.jpg
1039,首都医科大学,1039.jpg
1040,国际关系学院,1040.jpg
1041,中央美术学院,1041.png
1042,北京电子科技学院,1042.jpg
1043,中国劳动关系学院,1043.jpg
1044,中华女子学院,1044.jpg
1045,北京建筑大学,1045.jpg
1046,北京印刷学院,1046.jpg
1047,北京石油化工学院,1047.jpg
1048,首钢工学院,1048.jpg
1049,北京农学院,1049.jpg
1050,首都体育学院,1050.jpg
1051,北京第二外国语学院,1051.jpg
1052,北京物资学院,1052.jpg
1053,北京警察学院,1053.jpg
1054,中央音乐学院,1054.png
1055,中国戏曲学院,1055.jpg
1056,北京舞蹈学院,1056.jpg
1057,北京城市学院,1057.jpg
1058,北京电影学院,1058.png
1059,北京服装学院,1059.png
1060,北京工商大学嘉华学院,1060.jpg
1061,首都师范大学科德学院,1061.jpg
1062,北京工业大学耿丹学院,1062.jpg
1065,北京邮电大学世纪学院,1065.jpg
1067,北京政法职业学院,1067.jpg
1068,北京信息职业技术学院,1068.jpg
1071,北京戏曲艺术职业学院,1071.jpg
1074,北京培黎职业学院,1074.jpg
1075,北京农业职业学院,1075.jpg
1076,北京科技职业学院,1076.jpg
1077,北京科技经营管理学院,1077.jpg
1078,北京经贸职业学院,1078.jpg
1079,北京经济技术职业学院,1079.jpg
1080,北京京北职业技术学院,1080.jpg
1081,北京交通职业技术学院,1081.jpg
1082,北京吉利学院,1082.jpg
1083,北京汇佳职业学院,1083.jpg
1084,北京工业职业技术学院,1084.jpg
1086,北京电子科技职业学院,1086.png
1087,北京财贸职业学院,1087.jpg
1088,北京北大方正软件职业技术学院,1088.jpg
1101,北京第二外国语学院中瑞酒店管理学院,1101.jpg
1102,北京劳动保障职业学院,1102.jpg
1103,北京社会管理职业学院,1103.jpg
1104,北京艺术传媒职业学院,1104.jpg
1105,北京体育职业学院,1105.jpg
1106,北京交通运输职业学院,1106.jpg
1107,北京卫生职业学院,1107.jpg
1109,中国音乐学院,1109.jpg
1110,北京青年政治学院,1110.jpg
1111,北京经济管理职业学院,1111.jpg
2001,复旦大学,2001.png
2002,上海交通大学,2002.png
2003,同济大学,2003.png
2004,华东师范大学,2004.png
2005,上海财经大学,2005.png
2006,华东理工大学,2006.png
2007,上海商学院,2007.jpg
2008,东华大学,2008.png
2009,上海理工大学,2009.jpg
2010,上海大学,2010.png
2011,上海外国语大学,2011.png
2012,上海海事大学,2012.jpg
2013,上海工程技术大学,2013.jpg
2015,上海中医药大学,2015.jpg
2016,上海师范大学,2016.png
2017,上海建桥学院,2017.png
2018,上海政法学院,2018.jpg
2019,上海电机学院,2019.jpg
2020,上海第二工业大学,2020.png
2021,上海应用技术大学,2021.png
2022,上海电力学院,2022.jpg
2023,上海对外经贸大学,2023.jpg
2025,上海立信会计金融学院,2025.png
2026,上海体育职业学院,2026.jpg
2027,上海音乐学院,2027.png
2028,上海戏剧学院,2028.jpg
2029,上海杉达学院,2029.jpg
2030,华东政法大学,2030.jpg
2031,上海外国语大学贤达经济人文学院,2031.jpg
2033,上海师范大学天华学院,2033.jpg
2035,上海工商职业技术学院,2035.jpg
2039,上海邦德职业技术学院,2039.jpg
2042,上海出版印刷高等专科学校,2042.jpg
2043,上海电影艺术职业学院,2043.jpg
2044,上海电子信息职业技术学院,2044.jpg
2045,上海东海职业技术学院,2045.jpg
2046,上海工会管理职业学院,2046.jpg
2047,上海工商外国语职业学院,2047.jpg
2048,上海工艺美术职业学院,2048.jpg
2049,上海公安学院,2049.png
2050,上海海关学院,2050.jpg
2051,上海海事职业技术学院,2051.png
2052,上海济光职业技术学院,2052.jpg
2054,上海交通职业技术学院,2054.jpg
2055,上海科学技术职业学院,2055.jpg
2056,上海立达职业技术学院,2056.jpg
2058,上海民远职业技术学院,2058.jpg
2059,上海农林职业技术学院,2059.jpg
2060,上海欧华职业技术学院,2060.jpg
2061,上海思博职业技术学院,2061.jpg
2064,上海行健职业学院,2064.png
2067,上海震旦职业学院,2067.jpg
2068,上海中华职业技术学院,2068.jpg
